City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,karratha,-20.7377,116.8463,303.29,32,2,6.65,AU,1699932552
1,carnarvon,-24.8667,113.6333,295.44,65,98,3.78,AU,1699932552
2,horn,51.8715,8.9451,284.98,82,100,9.78,DE,1699932553
3,jian'ou,27.0469,118.3253,289.39,59,96,0.82,CN,1699932553
4,ushuaia,-54.8,-68.3,274.96,75,0,2.06,AR,1699932324
5,bethel,41.3712,-73.414,277.0,82,0,2.06,US,1699932553
6,kirakira,-10.4544,161.9205,300.17,81,84,2.31,SB,1699932554
7,trenggalek,-8.05,111.7167,303.78,64,82,3.4,ID,1699932554
8,edinburgh of the seven seas,-37.0676,-12.3116,286.61,77,12,11.23,SH,1699932554
9,punta arenas,-53.15,-70.9167,275.21,75,20,5.14,CL,1699932337
10,vilyuchinsk,52.9306,158.4028,270.89,70,100,2.62,RU,1699932555
11,tabou,4.423,-7.3528,298.5,89,5,2.08,CI,1699932555
12,remire-montjoly,4.9167,-52.2667,298.17,94,0,0.0,GF,1699932556
13,longyearbyen,78.2186,15.6401,262.06,85,100,3.6,SJ,1699932556
14,adamstown,-25.066,-130.1015,296.16,85,100,8.28,PN,1699932556
15,ntungamo,-0.8833,29.65,289.17,96,61,1.48,UG,1699932262
16,port-aux-francais,-49.35,70.2167,279.68,97,100,15.17,TF,1699932556
17,tiksi,71.6872,128.8694,257.67,95,100,2.07,RU,1699932557
18,yellowknife,62.456,-114.3525,269.44,93,100,6.17,CA,1699932557
19,portland,45.5234,-122.6762,283.06,90,0,2.24,US,1699931761
20,cockburn town,21.4612,-71.1419,301.0,77,10,8.55,TC,1699932558
21,ormara,25.2088,64.6357,297.54,54,0,2.14,PK,1699932558
22,griffith,41.5284,-87.4237,282.88,47,0,1.88,US,1699932558
23,riachao das neves,-11.7461,-44.91,297.32,36,0,0.78,BR,1699932558
24,ouellah,-11.7461,-44.91,297.32,36,0,0.78,BR,1699932558
25,weno,7.4515,151.8468,304.12,74,100,1.54,FM,1699932559
26,grytviken,-54.2811,-36.5092,275.04,98,100,3.21,GS,1699932559
27,solwezi,-12.1688,26.3894,288.65,86,97,1.38,ZM,1699932559
28,polyarnyy,69.1989,33.4478,264.17,97,94,1.07,RU,1699932560
29,puerto baquerizo moreno,-0.9,-89.6,296.85,83,100,4.25,EC,1699932560
30,kampung pasir gudang baru,1.4726,103.878,305.57,75,75,2.57,MY,1699932560
31,mangrol,21.1167,70.1167,298.48,35,34,3.68,IN,1699932561
32,okhotsk,59.3833,143.3,259.01,77,90,6.71,RU,1699932533
33,invercargill,-46.4,168.35,285.38,91,85,6.71,NZ,1699932281
34,muang phonsavan,19.45,103.2167,294.29,69,67,1.65,LA,1699932561
35,moussoro,13.6408,16.4901,301.87,21,88,7.62,TD,1699932561
36,waitangi,-43.9535,-176.5597,286.46,89,4,9.38,NZ,1699932562
37,ilulissat,69.2167,-51.1,269.16,63,100,6.17,GL,1699932562
38,arys,42.4252,68.795,278.41,53,0,2.91,KZ,1699932562
39,pasni,25.2631,63.471,297.66,59,0,2.75,PK,1699932562
40,kapuskasing,49.4169,-82.4331,274.2,93,100,3.6,CA,1699932542
41,anadyr,64.75,177.4833,259.43,71,7,12.0,RU,1699932563
42,afaahiti,-17.75,-149.2833,301.08,90,94,6.42,PF,1699932563
43,laguna,38.421,-121.4238,288.32,73,0,0.0,US,1699932563
44,blackmans bay,-43.0167,147.3167,289.0,56,13,5.39,AU,1699932564
45,chilaw,7.5758,79.7953,301.16,85,72,2.24,LK,1699932564
46,stanley,54.868,-1.6985,280.21,92,99,3.09,GB,1699932564
47,atafu village,-8.5421,-172.5159,300.1,85,100,6.87,TK,1699932564
48,kailua-kona,19.6406,-155.9956,301.13,79,75,3.6,US,1699932565
49,thunder bay,48.4001,-89.3168,270.1,93,0,0.51,CA,1699932312
50,puerto natales,-51.7236,-72.4875,274.86,77,84,5.7,CL,1699932565
